slot,input_excel_row,template_label_cell,original_label,corrected_label
72,73,A73,12:00-12:10,11:50-12:00
73,74,A74,12:10-12:20,12:00-12:10
74,75,A75,12:20-12:30,12:10-12:20
75,76,A76,12:30-12:40,12:20-12:30
76,77,A77,12:40-12:50,12:30-12:40
77,78,A78,12:50-13:00,12:40-12:50
78,79,A79,13:00-13:10,12:50-13:00
79,80,A80,13:10-13:20,13:00-13:10
80,81,A81,13:20-13:30,13:10-13:20
81,82,A82,13:30-13:40,13:20-13:30
82,83,A83,13:40-13:50,13:30-13:40
83,84,A84,13:50-14:00,13:40-13:50
84,85,A85,14:00-14:10,13:50-14:00
85,86,A86,14:10-14:20,14:00-14:10
86,87,A87,14:20-14:30,14:10-14:20
87,88,A88,14:30-14:40,14:20-14:30
88,89,A89,14:40-14:50,14:30-14:40
89,90,A90,14:50-15:00,14:40-14:50
90,91,A91,15:00-15:10,14:50-15:00
91,92,A92,15:10-15:20,15:00-15:10
92,93,A93,15:20-15:30,15:10-15:20
93,94,A94,15:30-15:40,15:20-15:30
94,95,A95,15:40-15:50,15:30-15:40
95,96,A96,15:50-16:00,15:40-15:50
96,97,A97,16:00-16:10,15:50-16:00
97,98,A98,16:10-16:20,16:00-16:10
98,99,A99,16:20-16:30,16:10-16:20
99,100,A100,16:30-16:40,16:20-16:30
100,101,A101,16:40-16:50,16:30-16:40
101,102,A102,16:50-17:00,16:40-16:50
102,103,A103,17:00-17:10,16:50-17:00
103,104,A104,17:10-17:20,17:00-17:10
104,105,A105,17:20-17:30,17:10-17:20
105,106,A106,17:30-17:40,17:20-17:30
106,107,A107,17:40-17:50,17:30-17:40
107,108,A108,17:50-18:00,17:40-17:50
108,109,A109,18:00-18:10,17:50-18:00
109,110,A110,18:10-18:20,18:00-18:10
110,111,A111,18:20-18:30,18:10-18:20
111,112,A112,18:30-18:40,18:20-18:30
112,113,A113,18:40-18:50,18:30-18:40
113,114,A114,18:50-19:00,18:40-18:50
114,115,A115,19:00-19:10,18:50-19:00
115,116,A116,19:10-19:20,19:00-19:10
116,117,A117,19:20-19:30,19:10-19:20
117,118,A118,19:30-19:40,19:20-19:30
118,119,A119,19:40-19:50,19:30-19:40
119,120,A120,19:50-20:00,19:40-19:50
120,121,A121,20:00-20:10,19:50-20:00
121,122,A122,20:10-20:20,20:00-20:10
122,123,A123,20:20-20:30,20:10-20:20
123,124,A124,20:30-20:40,20:20-20:30
124,125,A125,20:40-20:50,20:30-20:40
125,126,A126,20:50-21:00,20:40-20:50
126,127,A127,21:00-21:10,20:50-21:00
127,128,A128,21:10-21:20,21:00-21:10
128,129,A129,21:20-21:30,21:10-21:20
129,130,A130,21:30-21:40,21:20-21:30
130,131,A131,21:40-21:50,21:30-21:40
131,132,A132,21:50-22:00,21:40-21:50
132,133,A133,22:00-22:10,21:50-22:00
133,134,A134,22:10-22:20,22:00-22:10
134,135,A135,22:20-22:30,22:10-22:20
135,136,A136,22:30-22:40,22:20-22:30
136,137,A137,22:40-22:50,22:30-22:40
137,138,A138,22:50-23:00,22:40-22:50
138,139,A139,23:00-23:10,22:50-23:00
139,140,A140,23:10-23:20,23:00-23:10
140,141,A141,23:20-23:30,23:10-23:20
141,142,A142,23:30-23:40,23:20-23:30
142,143,A143,23:40-23:50,23:30-23:40
143,144,A144,23:50-0:00+1,23:40-23:50
144,145,A145,0:00+1-0:10+1,23:50-24:00
