slot,start,end,price_yuan_per_kwh,load_kw,pv_kw,grid_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,cost_yuan
16,02:30,02:40,0.4348,3517.9246,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0,254.93226934666666
17,02:40,02:50,0.4335,3518.5518,0.0,586.4253,0.0,0.0,0.0,10050.0,10050.0,254.21536755
18,02:50,03:00,0.4357,3521.0976,0.0,586.8496,0.0,0.0,0.0,10050.0,10050.0,255.69037072
19,03:00,03:10,0.4374,3526.9261,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0,257.11291269
20,03:10,03:20,0.4371,3537.2854,0.0,589.5475666666666,0.0,0.0,0.0,10050.0,10050.0,257.69124138999996
21,03:20,03:30,0.4356,3544.8808,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0,257.35834608
22,03:30,03:40,0.4353,3541.2787,0.0,590.2131166666666,0.0,0.0,0.0,10050.0,10050.0,256.91976968499995
23,03:40,03:50,0.436,3546.3976,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0,257.70489226666666
24,03:50,04:00,0.4378,3560.207,0.0,593.3678333333332,0.0,0.0,0.0,10050.0,10050.0,259.7764374333333
25,04:00,04:10,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0,261.269626635
26,04:10,04:20,0.4389,3556.7183,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0,260.173943645
27,04:20,04:30,0.4364,3560.0272,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0,258.93264501333334
28,04:30,04:40,0.4393,3580.654,0.5994,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0,262.11966429666666
29,04:40,04:50,0.4422,3586.916,0.2345,597.78025,0.0,0.0,0.0,10050.0,10050.0,264.33842655
30,04:50,05:00,0.4395,3571.2635,0.2885,595.1624999999999,0.0,0.0,0.0,10050.0,10050.0,261.57391874999996
31,05:00,05:10,0.4333,3562.3171,18.6781,590.6065,0.0,0.0,0.0,10050.0,10050.0,255.90979645000002
32,05:10,05:20,0.4439,3591.3809,54.4698,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0,261.6724728816667
33,05:20,05:30,0.4301,3579.7045,108.9718,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0,248.79368904499995
34,05:30,05:40,0.3713,3486.119,184.1603,1383.6597833333335,833.3333333333334,0.0,0.0,10050.0,10800.0,513.7528775516668
35,05:40,05:50,0.5708,3823.8994,277.0582,591.1401999999999,0.0,-0.0,0.0,10800.0,10800.0,337.42282615999994
36,05:50,06:00,0.9099,4398.0727,388.5494,0.0,0.0,668.2538833333333,0.0,10800.0,10057.495685185186,0.0
37,06:00,06:10,0.9368,4454.0123,521.2803,0.0,0.0,655.4553333333333,0.0,10057.495685185186,9329.211981481481,0.0
38,06:10,06:20,0.8758,4371.7919,672.7677,0.0,0.0,616.5040333333334,0.0,9329.211981481481,8644.2075,0.0
39,06:20,06:30,0.8759,4392.953,844.2261,0.0,0.0,591.4544833333334,0.0,8644.2075,7987.035851851852,0.0
40,06:30,06:40,0.8601,4384.5956,1039.6744,0.0,0.0,557.4868666666666,0.0,7987.035851851852,7367.606000000001,0.0
41,06:40,06:50,0.8442,4434.7757,1259.3375,0.0,0.0,529.2397,0.0,7367.606000000001,6779.561888888889,0.0
42,06:50,07:00,0.8334,4523.4561,1508.6318,0.0,0.0,502.4707166666667,0.0,6779.561888888889,6221.261092592593,0.0
43,07:00,07:10,0.8092,4524.0721,1791.4107,0.0,0.0,455.4435666666667,0.0,6221.261092592593,5715.212685185185,0.0
44,07:10,07:20,0.7972,4545.8867,2085.4865,0.0,0.0,410.06669999999997,0.0,5715.212685185185,5259.583018518519,0.0
45,07:20,07:30,0.7644,4523.2418,2381.2611,0.0,0.0,356.99678333333327,0.0,5259.583018518519,4862.919925925926,0.0
46,07:30,07:40,0.6899,4383.3566,2683.1752,0.0,0.0,283.36356666666666,0.0,4862.919925925926,4548.071518518518,0.0
47,07:40,07:50,0.86,4910.4599,2986.3552,0.0,0.0,320.6841166666666,0.0,4548.071518518518,4191.755833333333,0.0
48,07:50,08:00,1.1617,5799.7327,3289.204,0.0,0.0,418.4214499999999,0.0,4191.755833333333,3726.8431111111104,0.0
49,08:00,08:10,1.1683,5884.826,3593.3613,0.0,0.0,381.9107833333333,0.0,3726.8431111111104,3302.4977962962957,0.0
50,08:10,08:20,1.0956,5748.0713,3890.7332,0.0,0.0,309.5563499999999,0.0,3302.4977962962957,2958.5462962962956,0.0
51,08:20,08:30,1.0849,5769.0581,4181.3417,0.0,0.0,264.61940000000004,0.0,2958.5462962962956,2664.52474074074,0.0
52,08:30,08:40,1.061,5754.2105,4471.7657,0.0,0.0,213.74080000000004,0.0,2664.52474074074,2427.0349629629623,0.0
53,08:40,08:50,1.043,5824.1807,4752.8272,0.0,0.0,178.55891666666668,0.0,2427.0349629629623,2228.6361666666658,0.0
54,08:50,09:00,1.036,5954.2601,5021.9074,0.0,0.0,155.3921166666667,0.0,2228.6361666666658,2055.9782592592583,0.0
55,09:00,09:10,1.0147,5958.9696,5285.4126,0.0,0.0,112.25950000000012,0.0,2055.9782592592583,1931.2454814814803,0.0
56,09:10,09:20,0.9922,5929.5554,5543.1742,0.0,0.0,64.39686666666663,0.0,1931.2454814814803,1859.6934074074063,0.0
57,09:20,09:30,0.97,5923.7828,5788.4093,0.0,0.0,22.56224999999995,0.0,1859.6934074074063,1834.6242407407397,0.0
58,09:30,09:40,0.9422,5907.586,6012.1304,0.0,17.424066666666626,0.0,0.0,1834.6242407407397,1850.3059007407396,0.0
59,09:40,09:50,0.9569,5899.1262,6216.1528,0.0,52.83776666666669,0.0,0.0,1850.3059007407396,1897.8598907407397,0.0
60,09:50,10:00,0.9977,5902.2196,6409.5941,0.0,84.56241666666665,0.0,0.0,1897.8598907407397,1973.9660657407396,0.0
61,10:00,10:10,0.9919,5897.4793,6599.3808,0.0,116.98358333333331,0.0,0.0,1973.9660657407396,2079.2512907407395,0.0
62,10:10,10:20,0.9588,5886.7568,6766.7204,0.0,146.6606,0.0,0.0,2079.2512907407395,2211.2458307407396,0.0
63,10:20,10:30,0.9549,5873.4708,6914.5923,0.0,173.52025000000003,0.0,0.0,2211.2458307407396,2367.4140557407395,0.0
64,10:30,10:40,0.9839,5858.0308,7064.2053,0.0,201.02908333333318,0.0,0.0,2367.4140557407395,2548.3402307407396,0.0
65,10:40,10:50,0.799,5844.9948,7197.4315,0.0,225.40611666666655,0.0,0.0,2548.3402307407396,2751.2057357407393,0.0
66,10:50,11:00,0.5025,5839.0587,7303.1142,0.0,244.00925000000007,0.0,0.0,2751.2057357407393,2970.8140607407395,0.0
67,11:00,11:10,0.4662,5838.7103,7387.6848,575.1709166666667,833.3333333333334,0.0,0.0,2970.8140607407395,3720.8140607407395,268.14468135000004
68,11:10,11:20,0.5007,5823.4378,7459.227,0.0,272.6315333333333,0.0,0.0,3720.8140607407395,3966.1824407407394,0.0
69,11:20,11:30,0.4827,5814.7932,7520.7191,0.0,284.32098333333334,0.0,0.0,3966.1824407407394,4222.07132574074,0.0
70,11:30,11:40,0.4785,5832.3951,7568.2039,179.2771713991827,468.5786380658495,0.0,0.0,4222.07132574074,4643.792100000004,85.78412651450891
71,11:40,11:50,0.4662,5712.901,7592.1539,520.1245166666666,833.3333333333334,0.0,0.0,4643.792100000004,5393.792100000004,242.48204966999998
72,11:50,12:00,0.4432,5519.4607,7601.0433,486.40289999999993,833.3333333333334,0.0,0.0,5393.792100000004,6143.792100000004,215.57376527999998
73,12:00,12:10,0.4411,5494.7907,7612.316,480.41245000000004,833.3333333333334,0.0,0.0,6143.792100000004,6893.792100000004,211.909931695
74,12:10,12:20,0.4551,5514.4524,7602.6524,485.30000000000007,833.3333333333334,0.0,0.0,6893.792100000004,7643.792100000004,220.86003000000002
75,12:20,12:30,0.4463,5485.829,7554.1872,488.6069666666666,833.3333333333334,0.0,0.0,7643.792100000004,8393.792100000004,218.06528922333328
76,12:30,12:40,0.4113,5462.3628,7472.7384,498.27073333333334,833.3333333333334,0.0,0.0,8393.792100000004,9143.792100000004,204.93875262
77,12:40,12:50,0.5682,5566.1066,7393.4172,0.0,304.5517666666666,0.0,0.0,9143.792100000004,9417.888690000003,0.0
78,12:50,13:00,0.8279,5725.7548,7312.7979,0.0,264.5071833333333,0.0,0.0,9417.888690000003,9655.945155000003,0.0
79,13:00,13:10,0.8636,5739.4957,7194.541,0.0,242.50754999999995,0.0,0.0,9655.945155000003,9874.201950000002,0.0
80,13:10,13:20,0.8416,5714.6836,7053.1371,0.0,223.07558333333327,0.0,0.0,9874.201950000002,10074.969975000002,0.0
81,13:20,13:30,0.8618,5717.8505,6910.4064,0.0,198.7593166666667,0.0,0.0,10074.969975000002,10253.853360000001,0.0
82,13:30,13:40,0.8623,5708.2486,6772.4075,0.0,177.35981666666672,0.0,0.0,10253.853360000001,10413.477195000001,0.0
83,13:40,13:50,0.9026,5696.9182,6607.36,0.0,151.74029999999993,0.0,0.0,10413.477195000001,10550.043465,0.0
84,13:50,14:00,0.9754,5692.2983,6412.5085,0.0,120.03503333333325,0.0,0.0,10550.043465,10658.074995,0.0
85,14:00,14:10,1.0002,5687.1291,6214.0158,0.0,87.81445,0.0,0.0,10658.074995,10737.108,0.0
86,14:10,14:20,0.9978,5678.962,6000.7112,0.0,53.62486666666655,0.0,0.0,10737.108,10785.37038,0.0
87,14:20,14:30,1.0271,5669.4508,5766.9816,0.0,16.255133333333408,0.0,0.0,10785.37038,10800.0,0.0
88,14:30,14:40,1.0906,5664.1948,5521.5066,0.0,0.0,23.78136666666675,0.0,10800.0,10773.57625925926,0.0
89,14:40,14:50,0.9376,5672.7011,5268.781,0.0,0.0,67.3200166666667,0.0,10773.57625925926,10698.77624074074,0.0
90,14:50,15:00,0.6694,5682.2544,5009.7152,112.0898666666667,0.0,0.0,0.0,10698.77624074074,10698.77624074074,75.03295674666668
91,15:00,15:10,0.66,5669.0195,4743.4484,266.7326936213991,112.47084362139907,0.0,0.0,10698.77624074074,10800.0,176.0435777901234
92,15:10,15:20,0.7217,5656.3651,4471.224,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,142.55272197833332
93,15:20,15:30,0.7308,5657.0867,4188.2025,244.81403333333324,0.0,0.0,0.0,10800.0,10800.0,178.91009555999995
94,15:30,15:40,0.7534,5662.6008,3889.3931,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,222.65578019666668
95,15:40,15:50,0.7823,5669.2596,3594.5946,345.77750000000003,0.0,0.0,0.0,10800.0,10800.0,270.50173825
96,15:50,16:00,0.8055,5673.4767,3303.8878,394.93148333333335,0.0,0.0,0.0,10800.0,10800.0,318.117309825
97,16:00,16:10,0.8271,5671.0146,2998.4247,445.43165000000005,0.0,-0.0,0.0,10800.0,10800.0,368.416517715
98,16:10,16:20,0.8519,5661.5926,2687.4131,495.69658333333325,0.0,-0.0,0.0,10800.0,10800.0,422.2839193416666
99,16:20,16:30,0.8791,5665.8922,2383.1779,547.11905,0.0,-0.0,0.0,10800.0,10800.0,480.972356855
100,16:30,16:40,0.9024,5689.0372,2089.1246,599.9854333333333,0.0,0.0,0.0,10800.0,10800.0,541.42685504
101,16:40,16:50,0.9163,5603.6614,1791.0829,635.4297499999999,0.0,0.0,0.0,10800.0,10800.0,582.2442799249999
102,16:50,17:00,0.9264,5466.7124,1501.7283,660.8306833333334,0.0,-0.0,0.0,10800.0,10800.0,612.19354504
103,17:00,17:10,0.9462,5467.3939,1255.1723,702.0369333333333,0.0,-0.0,0.0,10800.0,10800.0,664.26734632
104,17:10,17:20,0.9742,5464.727,1036.3323,738.0657833333332,0.0,-0.0,0.0,10800.0,10800.0,719.0236861233332
105,17:20,17:30,0.9862,5492.4458,836.7775,775.9447166666666,0.0,-0.0,0.0,10800.0,10800.0,765.2366795766666
106,17:30,17:40,0.976,5621.7308,665.2313,826.0832499999999,0.0,0.0,0.0,10800.0,10800.0,806.2572519999999
107,17:40,17:50,1.0742,5091.2126,516.6758,762.4227999999999,0.0,-0.0,0.0,10800.0,10800.0,818.99457176
108,17:50,18:00,1.2313,4208.5688,386.6731,636.9826166666667,0.0,-0.0,0.0,10800.0,10800.0,784.3166959016667
109,18:00,18:10,1.2561,4122.7611,275.7933,531.8940499999999,0.0,109.26725000000005,0.0,10800.0,10678.591944444444,668.1121162049999
110,18:10,18:20,1.2447,4255.9358,182.9526,678.8305333333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,844.9403648399999
111,18:20,18:30,1.2545,4225.9524,108.3414,686.2684999999999,0.0,0.0,0.0,10678.591944444444,10678.591944444444,860.9238332499998
112,18:30,18:40,1.2522,4233.3384,54.3121,696.5043833333332,0.0,0.0,0.0,10678.591944444444,10678.591944444444,872.1627888099998
113,18:40,18:50,1.2881,4246.4625,18.6569,0.0,0.0,704.6342666666666,0.0,10678.591944444444,9895.664981481481,0.0
114,18:50,19:00,1.3466,4239.1795,0.2753,0.0,0.0,706.4840333333333,0.0,9895.664981481481,9110.682722222222,0.0
115,19:00,19:10,1.3523,4244.6684,0.2296,0.0,0.0,707.4064666666666,0.0,9110.682722222222,8324.675537037037,0.0
116,19:10,19:20,1.3445,4251.9187,0.6007,0.0,0.0,708.553,0.0,8324.675537037037,7537.394425925927,0.0
117,19:20,19:30,1.3483,4256.6813,0.0,0.0,0.0,709.4468833333333,0.0,7537.394425925927,6749.120111111112,0.0
118,19:30,19:40,1.349,4267.3947,0.0,0.0,0.0,711.23245,0.0,6749.120111111112,5958.861833333334,0.0
119,19:40,19:50,1.3473,4269.975,0.0,0.0,0.0,711.6625,0.0,5958.861833333334,5168.125722222223,0.0
120,19:50,20:00,1.3482,4268.6702,0.0,0.0,0.0,711.4450333333332,0.0,5168.125722222223,4377.631240740741,0.0
121,20:00,20:10,1.3513,4282.2245,0.0,0.0,0.0,713.7040833333333,0.0,4377.631240740741,3584.626703703704,0.0
122,20:10,20:20,1.34,4291.7049,0.0,0.0,0.0,715.28415,0.0,3584.626703703704,2789.8665370370372,0.0
123,20:20,20:30,1.3489,4291.3611,0.0,0.0,0.0,715.22685,0.0,2789.8665370370372,1995.170037037037,0.0
124,20:30,20:40,1.3952,4293.9182,0.0,0.0,0.0,715.6530333333333,0.0,1995.170037037037,1200.0,0.0
125,20:40,20:50,1.2226,4295.2135,0.0,715.8689166666666,0.0,-0.0,0.0,1200.0,1200.0,875.2213375166665
126,20:50,21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,669.1091748733334
127,21:00,21:10,0.9068,4320.9618,0.0,720.1603,0.0,0.0,0.0,1200.0,1200.0,653.0413600400001
128,21:10,21:20,0.9371,4302.3292,0.0,717.0548666666666,0.0,0.0,0.0,1200.0,1200.0,671.9521155533333
129,21:20,21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,675.1299153633333
130,21:30,21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0,-0.0,0.0,1200.0,1200.0,728.6127788216666
131,21:40,21:50,0.7764,4030.1614,0.0,671.6935666666666,0.0,-0.0,0.0,1200.0,1200.0,521.5028851599999
132,21:50,22:00,0.4209,3362.7419,0.0,1393.7903166666665,833.3333333333334,0.0,0.0,1200.0,1950.0,586.6463442849999
133,22:00,22:10,0.3859,3309.3934,0.0,1384.8989000000001,833.3333333333334,0.0,0.0,1950.0,2700.0,534.4324855100001
134,22:10,22:20,0.4368,3412.9563,0.0,568.8260499999999,0.0,0.0,0.0,2700.0,2700.0,248.46321863999998
135,22:20,22:30,0.4198,3381.9313,0.0,1396.98855,833.3333333333334,0.0,0.0,2700.0,3450.0,586.45579329
136,22:30,22:40,0.4186,3386.5592,0.0,1397.7598666666668,833.3333333333334,0.0,0.0,3450.0,4200.0,585.1022801866668
137,22:40,22:50,0.4241,3400.4846,0.0,566.7474333333332,0.0,0.0,0.0,4200.0,4200.0,240.3575864766666
138,22:50,23:00,0.4237,3399.2426,0.0,1399.8737666666666,833.3333333333334,0.0,0.0,4200.0,4950.0,593.1265149366667
139,23:00,23:10,0.4248,3406.9809,0.0,567.83015,0.0,0.0,0.0,4950.0,4950.0,241.21424772
140,23:10,23:20,0.424,3416.1518,0.0,902.6919666666665,333.3333333333333,0.0,0.0,4950.0,5250.0,382.7413938666666
141,23:20,23:30,0.422,3421.9811,0.0,1403.6635166666665,833.3333333333334,0.0,0.0,5250.0,6000.0,592.3460040333332
142,23:30,23:40,0.424,3429.6923,0.0,571.6153833333333,0.0,0.0,0.0,6000.0,6000.0,242.3649225333333
143,23:40,23:50,0.4271,3439.061,0.0,573.1768333333333,0.0,0.0,0.0,6000.0,6000.0,244.80382551666665
144,23:50,24:00,0.4276,3444.7259,0.0,574.1209833333332,0.0,0.0,0.0,6000.0,6000.0,245.49413247333328
